base,best_auc,best_auc_cell,best_p5,best_p5_cell,cluster,n_drug,n_pockets,n_seeds,null_max_auc,perm_p,protein,reason,run,source,status,truth_type
,,,,,,,,,,,CB_3P3I,fpocket none,fpocket_hop2,,not_scored,
0.2424,0.8787,binary|comb|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,Q9H7Z6,16,10,66,0.6722,0.0,CB_4DNC,,fpocket_hop2,cryptobench,scored,drug_contact
0.2581,0.7731,binary|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,O28597,16,10,62,0.6744,0.02,CB_4TWI,,fpocket_hop2,cryptobench,scored,drug_contact
0.0253,0.8506,gauss|comb|R,0.2,exp|adj|R,A0QUZ2,2,10,79,0.9007,0.81,CB_5GGC,,fpocket_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6AQE,seeds 38 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,CB_6PLF,seeds 53 drug 0,fpocket_hop2,,not_scored,
0.1,0.8178,gauss|adj|green_lmax_0.05,0.4,binary|adj|residLOG,P30793,5,10,50,0.7847,0.295,CB_6Z89,,fpocket_hop2,cryptobench,scored,drug_contact
0.2353,0.656,binary|sym|R,0.4,binary|adj|R,2ZB1,12,10,51,0.6929,0.775,CS_2ZB1,,fpocket_hop2,cryptosite,scored,drug_contact
0.0273,0.9252,gauss|adj|residLOG,0.2,binary|adj|green_zero_0.01,"Glycogen phosphorylase, liver form",3,10,110,0.8427,0.11,ASB_1EM6,,fpocket_hop2,asbench,scored,curated_allosteric
0.1319,0.7184,binary|sym|residLOG,0.6,binary|adj|R,Sulfate adenylyltransferase,12,10,91,0.6741,0.16,ASB_1M8P,,fpocket_hop2,asbench,scored,curated_allosteric
0.0274,0.9577,exp|comb|p_avg,0.2,binary|adj|p_peak,Parathion hydrolase,2,10,73,0.9111,0.235,ASB_1QW7,,fpocket_hop2,asbench,scored,curated_allosteric
0.1458,0.7265,harm|sym|p_avg,0.6,gauss|adj|p_peak,Acetyl-CoA carboxylase,14,10,96,0.6784,0.13,ASB_1W96,,fpocket_hop2,asbench,scored,curated_allosteric
0.0976,0.7078,exp|comb|residLOG,0.2,binary|adj|p_peak,"Glycogen phosphorylase, muscle form",8,10,82,0.721,0.56,ASB_2IEG,,fpocket_hop2,asbench,scored,curated_allosteric
0.2692,0.6316,exp|sym|R,0.8,binary|comb|R,"Fructose-1,6-bisphosphatase class 1",14,10,52,0.6878,0.9,ASB_2Q8M_2,,fpocket_hop2,asbench,scored,curated_allosteric
0.08,0.8696,binary|adj|residLOG,0.4,binary|adj|residLOG,Pyruvate kinase PKLR,4,10,50,0.8035,0.14,ASB_2VGI,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3DC2,seeds 62 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,ASB_3FUD,seeds 67 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,ASB_3LSX,seeds 40 drug 0,fpocket_hop2,,not_scored,
0.0625,0.872,exp|sym|residRAW,0.2,binary|comb|R,Ribonucleoside-diphosphate reductase 1 subunit alpha,5,10,80,0.7737,0.06,ASB_3R1R,,fpocket_hop2,asbench,scored,curated_allosteric
0.2143,0.6752,exp|sym|residRAW,0.8,gauss|comb|p_avg,Pyruvate kinase 1,15,10,70,0.6743,0.475,ASB_4HYW,,fpocket_hop2,asbench,scored,curated_allosteric
0.025,0.9744,exp|adj|residRAW,0.4,exp|adj|residRAW,CAS0027,2,10,80,0.8633,0.095,CAS_1CZA,,fpocket_hop2,casbench,scored,curated_allosteric
0.0545,0.8974,binary|sym|green_zero_0.01,0.4,exp|comb|R,CAS0001,3,10,55,0.8508,0.28,CAS_1NXG,,fpocket_hop2,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_2P9C,seeds 37 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,CAS_3DDN,seeds 75 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,CAS_3OTQ,seeds 46 drug 0,fpocket_hop2,,not_scored,
0.1552,0.8571,exp|comb|green_zero_0.05,0.6,binary|comb|green_lmax_0.05,CAS0001,9,10,58,0.7085,0.0,CAS_4JAF,,fpocket_hop2,casbench,scored,curated_allosteric
0.2875,0.6217,exp|adj|R,0.6,binary|adj|R,CAS0002,23,10,80,0.6434,0.675,CAS_5AI5,,fpocket_hop2,casbench,scored,curated_allosteric
0.3878,0.6632,exp|adj|R,0.6,exp|adj|R,CAS0002,19,10,49,0.6779,0.61,CAS_5AKE,,fpocket_hop2,casbench,scored,curated_allosteric
0.3103,0.65,exp|adj|R,0.8,binary|comb|R,CAS0002,18,10,58,0.6606,0.595,CAS_5ALD,,fpocket_hop2,casbench,scored,curated_allosteric
0.0294,0.9091,exp|comb|R,0.2,binary|comb|residLOG,CAS0002,1,10,34,0.9582,0.945,CAS_5ALN,,fpocket_hop2,casbench,scored,curated_allosteric
0.3623,0.7427,harm|sym|R,0.6,exp|adj|R,CAS0002,25,10,69,0.6437,0.02,CAS_5ALV,,fpocket_hop2,casbench,scored,curated_allosteric
0.5116,0.6342,gauss|sym|residRAW,1.0,exp|adj|residLOG,CAS0002,22,10,43,0.6747,0.815,CAS_5AM4,,fpocket_hop2,casbench,scored,curated_allosteric
0.0769,0.7667,exp|adj|green_zero_0.01,0.2,exp|adj|R,O00299,5,10,65,0.7818,0.6,CB_1K0N,,fpocket_hop2,cryptobench,scored,drug_contact
0.1094,0.6792,binary|adj|green_lmax_0.05,0.4,binary|adj|green_zero_0.01,Q9RBY1,7,10,64,0.7359,0.845,CB_2ZJ7,,fpocket_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3BRK,seeds 68 drug 0,fpocket_hop2,,not_scored,
0.029,0.9104,harm|comb|R,0.2,binary|comb|R,P0CE47,2,10,69,0.8899,0.45,CB_3U6K,,fpocket_hop2,cryptobench,scored,drug_contact
0.1167,0.9623,gauss|sym|green_lmax_0.05,0.6,binary|sym|green_lmax_0.05,P45723,7,10,60,0.7449,0.0,CB_4I8Y,,fpocket_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_4ZOE,seeds 92 drug 0,fpocket_hop2,,not_scored,
0.0816,0.8778,gauss|sym|p_avg,0.4,gauss|sym|p_peak,Q9H7B4,4,10,49,0.8051,0.165,CB_5HQ8,,fpocket_hop2,cryptobench,scored,drug_contact
0.0106,0.9032,gauss|adj|R,0.0,binary|adj|p_avg,Q8RQE8-Q8RQE9,1,10,94,0.9403,0.775,CB_6KQF,,fpocket_hop2,cryptobench,scored,drug_contact
0.0556,0.9669,harm|sym|p_peak,0.4,binary|sym|p_avg,B7GTV0,4,10,72,0.7975,0.0,CB_6RXD,,fpocket_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_7GOS,seeds 38 drug 0,fpocket_hop2,,not_scored,
0.1556,0.6805,gauss|comb|R,0.4,binary|adj|R,Novel cryptic pocket set,14,10,90,0.6736,0.41,PM_1J8F,,fpocket_hop2,pocketminer,scored,drug_contact
0.2063,0.6908,exp|sym|R,0.6,binary|adj|green_zero_0.01,"Fructose-1,6-bisphosphatase 1",13,10,63,0.6905,0.49,ASB_1FRP,,fpocket_hop2,asbench,scored,curated_allosteric
0.0426,0.9222,gauss|adj|p_peak,0.2,binary|sym|p_avg,Glucosamine-6-phosphate isomerase 1,2,10,47,0.9045,0.485,ASB_1NE7,,fpocket_hop2,asbench,scored,curated_allosteric
0.1579,0.8287,binary|comb|R,0.6,harm|sym|residLOG,Tyrosine-protein phosphatase non-receptor type 1,9,10,57,0.72,0.035,ASB_1T49,,fpocket_hop2,asbench,scored,curated_allosteric
0.0476,0.842,harm|comb|R,0.4,harm|comb|R,"Glycogen phosphorylase, muscle form",5,10,105,0.7765,0.135,ASB_1Z8D_1,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2J0X,seeds 52 drug 0,fpocket_hop2,,not_scored,
0.1163,0.8158,binary|adj|green_zero_0.01,0.6,exp|sym|p_peak,Androgen receptor,5,10,43,0.7991,0.37,ASB_2QPY,,fpocket_hop2,asbench,scored,curated_allosteric
0.2131,0.7692,gauss|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,Multifunctional 2-oxoglutarate metabolism enzyme,13,10,61,0.6764,0.03,ASB_2Y0P,,fpocket_hop2,asbench,scored,curated_allosteric
0.0617,0.7026,binary|adj|R,0.2,binary|comb|R,"Glycogen phosphorylase, muscle form",5,10,81,0.7719,0.885,ASB_3E3N,,fpocket_hop2,asbench,scored,curated_allosteric
0.1758,0.6825,binary|adj|green_zero_0.05,0.6,binary|comb|p_avg,Pyruvate kinase PKM,16,10,91,0.6665,0.345,ASB_3H6O,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3LU6,seeds 103 drug 0,fpocket_hop2,,not_scored,
0.0714,0.8317,exp|comb|R,0.4,exp|comb|R,Mitogen-activated protein kinase 14,4,10,56,0.7998,0.34,ASB_4E6C,,fpocket_hop2,asbench,scored,curated_allosteric
0.0408,0.9574,harm|adj|p_peak,0.4,harm|adj|p_peak,HD domain protein,2,10,49,0.9048,0.235,ASB_4LRL,,fpocket_hop2,asbench,scored,curated_allosteric
0.1188,0.9064,binary|adj|residLOG,0.6,binary|adj|residLOG,CAS0027,12,10,101,0.6677,0.0,CAS_1DGK,,fpocket_hop2,casbench,scored,curated_allosteric
0.0476,0.925,binary|comb|residLOG,0.2,binary|adj|green_zero_0.05,CAS0001,2,10,42,0.903,0.505,CAS_1OWC,,fpocket_hop2,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_2P9E,fpocket none,fpocket_hop2,,not_scored,
0.0541,0.8321,gauss|sym|R,0.2,exp|sym|R,CAS0002,4,10,74,0.7738,0.22,CAS_3I1Y,,fpocket_hop2,casbench,scored,curated_allosteric
0.1639,0.7882,harm|sym|residLOG,0.6,harm|sym|p_avg,CAS0001,10,10,61,0.7097,0.095,CAS_4G6B,,fpocket_hop2,casbench,scored,curated_allosteric
0.1373,0.6851,exp|adj|green_zero_0.01,0.4,binary|comb|R,CAS0001,7,10,51,0.7486,0.88,CAS_4JAG,,fpocket_hop2,casbench,scored,curated_allosteric
0.2857,0.6653,binary|sym|green_zero_0.01,0.4,gauss|adj|R,CAS0002,22,10,77,0.648,0.315,CAS_5AIA,,fpocket_hop2,casbench,scored,curated_allosteric
0.2881,0.6723,gauss|sym|R,0.6,binary|sym|R,CAS0002,17,10,59,0.6663,0.435,CAS_5AKH,,fpocket_hop2,casbench,scored,curated_allosteric
0.075,0.8829,exp|sym|R,0.4,exp|sym|R,CAS0002,3,10,40,0.8331,0.285,CAS_5ALF,,fpocket_hop2,casbench,scored,curated_allosteric
0.2716,0.6271,binary|adj|R,0.6,binary|adj|R,CAS0002,22,10,81,0.6354,0.555,CAS_5ALO,,fpocket_hop2,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_5ALW,seeds 36 drug 0,fpocket_hop2,,not_scored,
0.2338,0.7524,exp|adj|R,0.8,exp|adj|R,CAS0002,18,10,77,0.6522,0.02,CAS_5AM5,,fpocket_hop2,casbench,scored,curated_allosteric
0.1981,0.8095,binary|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,P00489,21,10,106,0.6458,0.0,CB_1NOK,,fpocket_hop2,cryptobench,scored,drug_contact
0.0426,0.9222,exp|adj|R,0.2,binary|adj|residLOG,Q5ZUA2,2,10,47,0.9066,0.45,CB_3AAR,,fpocket_hop2,cryptobench,scored,drug_contact
0.0417,0.9565,gauss|adj|green_zero_0.05,0.4,gauss|adj|green_zero_0.05,Q5S3I3,3,10,72,0.8478,0.045,CB_3GL0,,fpocket_hop2,cryptobench,scored,drug_contact
0.0408,0.9787,binary|comb|green_lmax_0.05,0.4,binary|adj|green_lmax_0.05,Q72498,2,10,49,0.9134,0.09,CB_3VQ9,,fpocket_hop2,cryptobench,scored,drug_contact
0.0769,0.9133,binary|sym|green_lmax_0.05,0.4,binary|sym|green_lmax_0.05,P33284,5,10,65,0.7695,0.01,CB_4JAX,,fpocket_hop2,cryptobench,scored,drug_contact
0.0909,0.6367,harm|comb|residLOG,0.2,binary|sym|R,P53590,7,10,77,0.718,0.94,CB_5CAE,,fpocket_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_5IWI,seeds 81 drug 0,fpocket_hop2,,not_scored,
0.0444,0.907,gauss|sym|R,0.2,binary|comb|R,P9WNV1,2,10,45,0.909,0.535,CB_6KSC,,fpocket_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6U9C,seeds 58 drug 0,fpocket_hop2,,not_scored,
0.0323,0.9083,binary|sym|residLOG,0.2,binary|adj|R,O23254,2,10,62,0.9093,0.565,CB_7Q00,,fpocket_hop2,cryptobench,scored,drug_contact
0.0602,0.8026,exp|adj|R,0.4,binary|sym|R,"NAD-dependent malic enzyme, mitochondrial",5,10,83,0.7761,0.32,ASB_1GZ3,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1NH8,seeds 53 drug 0,fpocket_hop2,,not_scored,
0.0328,0.8898,exp|comb|p_peak,0.2,binary|comb|p_peak,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase,2,10,61,0.9072,0.665,ASB_1UXV,,fpocket_hop2,asbench,scored,curated_allosteric
0.1429,0.6934,harm|sym|R,0.6,binary|adj|p_peak,Pyruvate dehydrogenase kinase isozyme 2,9,10,63,0.7197,0.655,ASB_2BU8,,fpocket_hop2,asbench,scored,curated_allosteric
0.0536,0.8239,exp|adj|green_zero_0.01,0.4,exp|adj|green_zero_0.01,"Tryptophan 2,3-dioxygenase",3,10,56,0.8481,0.66,ASB_2NW8,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2R1R,seeds 71 drug 0,fpocket_hop2,,not_scored,
0.3333,0.745,harm|adj|residLOG,0.6,exp|comb|R,Androgen receptor,10,10,30,0.7462,0.48,ASB_2YLO,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3ETE_1,seeds 68 drug 0,fpocket_hop2,,not_scored,
0.1948,0.6817,binary|adj|R,0.6,gauss|comb|residLOG,Pyruvate kinase,15,10,77,0.6738,0.43,ASB_3HQP,,fpocket_hop2,asbench,scored,curated_allosteric
0.1739,0.6784,gauss|comb|R,0.4,binary|adj|green_zero_0.01,Mitogen-activated protein kinase 8,12,10,69,0.6869,0.535,ASB_3O2M,,fpocket_hop2,asbench,scored,curated_allosteric
0.0202,0.8814,binary|adj|R,0.0,binary|adj|p_avg,Pyruvate kinase PKM,2,10,99,0.9008,0.665,ASB_4G1N,,fpocket_hop2,asbench,scored,curated_allosteric
0.1011,0.6639,exp|comb|green_zero_0.01,0.6,gauss|sym|R,"Glycogen phosphorylase, muscle form",9,10,89,0.7141,0.855,ASB_4MRA,,fpocket_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1I2D,seeds 65 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,CAS_1PSD,seeds 29 drug 0,fpocket_hop2,,not_scored,
,,,,,,,,,,,CAS_2P9G,seeds 38 drug 0,fpocket_hop2,,not_scored,
0.1765,0.756,gauss|comb|R,0.8,gauss|comb|R,CAS0002,12,10,68,0.6774,0.055,CAS_3I28,,fpocket_hop2,casbench,scored,curated_allosteric
0.0435,0.899,binary|adj|green_lmax_0.05,0.2,binary|adj|p_avg,CAS0001,3,10,69,0.8531,0.32,CAS_4JAD,,fpocket_hop2,casbench,scored,curated_allosteric
0.2027,0.7254,binary|adj|R,0.4,binary|adj|R,CAS0002,15,10,74,0.663,0.095,CAS_5AHX,,fpocket_hop2,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_5AK4,seeds 16 drug 0,fpocket_hop2,,not_scored,
0.2821,0.6899,exp|sym|R,0.8,binary|adj|R,CAS0002,22,10,78,0.6397,0.105,CAS_5AKX,,fpocket_hop2,casbench,scored,curated_allosteric
0.3276,0.6505,exp|adj|R,0.6,harm|sym|R,CAS0002,19,10,58,0.6672,0.63,CAS_5ALH,,fpocket_hop2,casbench,scored,curated_allosteric
0.0238,1.0,gauss|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.01,CAS0002,1,10,42,0.9643,0.42,CAS_5ALT,,fpocket_hop2,casbench,scored,curated_allosteric
0.2716,0.6194,exp|comb|R,0.8,binary|adj|R,CAS0002,22,10,81,0.6397,0.7,CAS_5ALY,,fpocket_hop2,casbench,scored,curated_allosteric
0.0441,0.841,harm|sym|residRAW,0.4,gauss|sym|residRAW,P18031,3,10,68,0.8421,0.51,CB_1BZJ,,fpocket_hop2,cryptobench,scored,drug_contact
0.075,0.7568,gauss|adj|green_zero_0.05,0.2,binary|sym|R,P02879,3,10,40,0.8536,0.93,CB_1RTC,,fpocket_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3BGL,seeds 61 drug 0,fpocket_hop2,,not_scored,
0.2766,0.6787,gauss|adj|green_zero_0.01,0.8,gauss|adj|green_zero_0.01,A7ASX7,13,10,47,0.6911,0.57,CB_3KJR,,fpocket_hop2,cryptobench,scored,drug_contact
0.0213,0.8859,exp|sym|residLOG,0.2,binary|comb|p_peak,Q9WYL6,2,10,94,0.8993,0.61,CB_4CON,,fpocket_hop2,cryptobench,scored,drug_contact
0.0769,0.8167,exp|comb|green_lmax_0.05,0.4,binary|adj|green_lmax_0.05,P07814,5,10,65,0.7742,0.28,CB_4K86,,fpocket_hop2,cryptobench,scored,drug_contact
0.0632,0.882,binary|adj|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,Q89ZX5,6,10,95,0.7541,0.03,CB_5CK1,,fpocket_hop2,cryptobench,scored,drug_contact
0.0602,0.6923,binary|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.05,O32553,5,10,83,0.7828,0.93,CB_5UXA,,fpocket_hop2,cryptobench,scored,drug_contact
0.0976,0.9054,exp|adj|green_lmax_0.05,0.4,exp|adj|p_peak,Q9HY79,4,8,41,0.8272,0.14,CB_6NLF,,fpocket_hop2,cryptobench,scored,drug_contact
0.0125,0.9873,harm|sym|p_peak,0.2,gauss|adj|p_peak,P08149,1,10,80,0.9799,0.605,CB_6XQX,,fpocket_hop2,cryptobench,scored,drug_contact
0.0175,0.9821,harm|adj|R,0.2,harm|adj|R,G3XDA2,1,10,57,0.9746,0.66,CB_8CN8,,fpocket_hop2,cryptobench,scored,drug_contact
0.1263,0.752,binary|sym|residLOG,0.4,binary|comb|residLOG,Pyruvate kinase 1,12,10,95,0.6809,0.04,ASB_1A3W,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1H78,seeds 77 drug 0,consensus_hop1,,not_scored,
0.1481,0.6875,harm|comb|R,0.6,harm|comb|R,ATP-dependent 6-phosphofructokinase isozyme 1,8,10,54,0.7194,0.715,ASB_1PFK,,consensus_hop1,asbench,scored,curated_allosteric
0.1489,0.908,binary|comb|green_lmax_0.05,1.0,gauss|adj|green_zero_0.05,Response regulator PleD,14,10,94,0.6659,0.0,ASB_1W25,,consensus_hop1,asbench,scored,curated_allosteric
0.1687,0.913,binary|adj|green_lmax_0.05,1.0,binary|adj|green_lmax_0.05,Serum albumin,14,10,83,0.6635,0.0,ASB_2BXA,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2PA3,seeds 76 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,ASB_2VD3,seeds 71 drug 0,consensus_hop1,,not_scored,
0.0561,0.6716,binary|adj|green_zero_0.01,0.4,gauss|comb|residLOG,"Glycogen phosphorylase, liver form",6,10,107,0.7519,0.925,ASB_3CEH,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_3ETG,seeds 87 drug 0,consensus_hop1,,not_scored,
0.1556,0.703,binary|adj|residLOG,0.6,harm|comb|residLOG,"Fructose-1,6-bisphosphatase isozyme 2",14,10,90,0.6767,0.24,ASB_3IFA,,consensus_hop1,asbench,scored,curated_allosteric
0.0656,0.7588,binary|adj|R,0.4,binary|adj|residLOG,Phospho-2-dehydro-3-deoxyheptonate aldolase,4,10,61,0.801,0.715,ASB_3PG9,,consensus_hop1,asbench,scored,curated_allosteric
0.0152,1.0,gauss|comb|R,0.2,gauss|comb|R,2-dehydro-3-deoxyphosphoheptonate aldolase,1,10,66,0.973,0.385,ASB_4GRS,,consensus_hop1,asbench,scored,curated_allosteric
0.0972,0.6659,gauss|sym|R,0.4,harm|adj|R,ATP-dependent 6-phosphofructokinase,7,10,72,0.7346,0.89,ASB_4PFK,,consensus_hop1,asbench,scored,curated_allosteric
0.0918,0.7591,binary|adj|residLOG,0.4,binary|sym|R,CAS0001,9,10,98,0.705,0.14,CAS_1NXE,,consensus_hop1,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1YBA,seeds 60 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,CAS_2PA3,seeds 74 drug 0,consensus_hop1,,not_scored,
0.2353,0.59,binary|adj|R,0.4,harm|sym|R,CAS0002,20,10,85,0.6496,0.945,CAS_3KOO,,consensus_hop1,casbench,scored,curated_allosteric
0.1628,0.6627,binary|adj|residRAW,0.6,binary|adj|p_peak,CAS0001,14,10,86,0.674,0.585,CAS_4JAE,,consensus_hop1,casbench,scored,curated_allosteric
0.236,0.6982,exp|adj|R,0.8,exp|adj|R,CAS0002,21,10,89,0.642,0.1,CAS_5AI4,,consensus_hop1,casbench,scored,curated_allosteric
0.2376,0.5563,harm|sym|R,0.4,exp|sym|R,CAS0002,24,10,101,0.6338,0.99,CAS_5AK5,,consensus_hop1,casbench,scored,curated_allosteric
0.2299,0.641,gauss|adj|R,0.6,harm|sym|R,CAS0002,20,10,87,0.6487,0.585,CAS_5AKY,,consensus_hop1,casbench,scored,curated_allosteric
0.0132,1.0,binary|adj|R,0.2,binary|adj|R,CAS0002,1,10,76,0.9593,0.36,CAS_5ALM,,consensus_hop1,casbench,scored,curated_allosteric
0.2821,0.6518,exp|sym|R,0.6,binary|adj|R,CAS0002,22,10,78,0.6422,0.385,CAS_5ALU,,consensus_hop1,casbench,scored,curated_allosteric
0.1972,0.8033,gauss|adj|R,0.8,gauss|adj|R,CAS0002,14,10,71,0.6705,0.0,CAS_5AM0,,consensus_hop1,casbench,scored,curated_allosteric
0.0484,0.887,binary|comb|green_lmax_0.05,0.2,binary|comb|p_avg,P00590,3,10,62,0.8405,0.285,CB_1CUZ,,consensus_hop1,cryptobench,scored,drug_contact
0.0702,0.9057,exp|adj|green_zero_0.05,0.6,exp|adj|p_peak,Q93096,4,9,57,0.8052,0.06,CB_1RXD,,consensus_hop1,cryptobench,scored,drug_contact
0.1095,0.7831,exp|comb|R,0.6,exp|comb|R,P25114,15,10,137,0.6585,0.01,CB_3BIF,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3P3I,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
0.2025,0.8363,binary|comb|green_lmax_0.05,0.8,binary|adj|green_lmax_0.05,Q9H7Z6,16,10,79,0.6694,0.0,CB_4DNC,,consensus_hop1,cryptobench,scored,drug_contact
0.1757,0.7024,binary|sym|residLOG,0.6,binary|sym|residLOG,O28597,13,10,74,0.6819,0.305,CB_4TWI,,consensus_hop1,cryptobench,scored,drug_contact
0.1071,0.7333,binary|adj|green_lmax_0.05,0.6,binary|adj|green_lmax_0.05,A0QUZ2,9,10,84,0.7074,0.26,CB_5GGC,,consensus_hop1,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6AQE,fpocket none,consensus_hop1,,not_scored,
,,,,,,,,,,,CB_6PLF,seeds 64 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,CB_6Z89,selector empty: {'reason': 'no PASSer entry'},consensus_hop1,,not_scored,
0.1538,0.6414,binary|sym|R,0.4,binary|comb|R,2ZB1,12,10,78,0.6816,0.775,CS_2ZB1,,consensus_hop1,cryptosite,scored,drug_contact
0.0222,0.8965,gauss|adj|residLOG,0.2,binary|adj|green_zero_0.01,"Glycogen phosphorylase, liver form",3,10,135,0.8486,0.235,ASB_1EM6,,consensus_hop1,asbench,scored,curated_allosteric
0.1635,0.6728,harm|comb|residRAW,0.6,binary|adj|R,Sulfate adenylyltransferase,17,10,104,0.6521,0.3,ASB_1M8P,,consensus_hop1,asbench,scored,curated_allosteric
0.0256,0.9539,binary|adj|p_peak,0.2,binary|adj|p_peak,Parathion hydrolase,2,10,78,0.9157,0.29,ASB_1QW7,,consensus_hop1,asbench,scored,curated_allosteric
0.1273,0.8088,gauss|comb|green_lmax_0.05,0.8,harm|sym|residLOG,Acetyl-CoA carboxylase,14,10,110,0.6745,0.01,ASB_1W96,,consensus_hop1,asbench,scored,curated_allosteric
0.0721,0.7039,exp|comb|p_peak,0.6,gauss|comb|residLOG,"Glycogen phosphorylase, muscle form",8,10,111,0.7167,0.585,ASB_2IEG,,consensus_hop1,asbench,scored,curated_allosteric
0.1522,0.6731,exp|sym|R,0.4,binary|comb|R,"Fructose-1,6-bisphosphatase class 1",14,10,92,0.6744,0.46,ASB_2Q8M_2,,consensus_hop1,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2VGI,seeds 103 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,ASB_3DC2,seeds 91 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,ASB_3FUD,seeds 92 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,ASB_3LSX,fpocket none,consensus_hop1,,not_scored,
0.0348,0.9527,exp|sym|residRAW,0.4,exp|sym|residLOG,Ribonucleoside-diphosphate reductase 1 subunit alpha,4,10,115,0.7975,0.005,ASB_3R1R,,consensus_hop1,asbench,scored,curated_allosteric
0.1667,0.6444,binary|adj|green_zero_0.01,0.6,exp|comb|R,Pyruvate kinase 1,15,10,90,0.6694,0.71,ASB_4HYW,,consensus_hop1,asbench,scored,curated_allosteric
0.0696,0.9533,exp|adj|residRAW,0.6,binary|adj|residLOG,CAS0027,8,10,115,0.6979,0.0,CAS_1CZA,,consensus_hop1,casbench,scored,curated_allosteric
0.125,0.7619,exp|adj|green_lmax_0.05,0.2,binary|adj|p_avg,CAS0001,12,10,96,0.6879,0.055,CAS_1NXG,,consensus_hop1,casbench,scored,curated_allosteric
,,,,,,,,,,,CAS_2P9C,seeds 63 drug 0,consensus_hop1,,not_scored,
,,,,,,,,,,,CAS_3DDN,seeds 104 drug 0,consensus_hop1,,not_scored,
0.0857,0.7786,harm|sym|R,0.6,binary|adj|R,CAS0002,6,10,70,0.7338,0.225,CAS_3OTQ,,consensus_hop1,casbench,scored,curated_allosteric
0.1047,0.7056,harm|adj|residLOG,0.4,exp|adj|R,CAS0001,9,10,86,0.7079,0.475,CAS_4JAF,,consensus_hop1,casbench,scored,curated_allosteric
0.2268,0.6406,exp|adj|R,0.6,binary|adj|R,CAS0002,22,10,97,0.6358,0.39,CAS_5AI5,,consensus_hop1,casbench,scored,curated_allosteric
0.2576,0.7671,exp|adj|R,0.8,exp|adj|R,CAS0002,17,10,66,0.6569,0.015,CAS_5AKE,,consensus_hop1,casbench,scored,curated_allosteric
0.2571,0.6293,exp|adj|R,0.8,binary|comb|R,CAS0002,18,10,70,0.6494,0.66,CAS_5ALD,,consensus_hop1,casbench,scored,curated_allosteric
0.0282,0.8696,gauss|comb|R,0.2,gauss|comb|residLOG,CAS0002,2,10,71,0.8604,0.535,CAS_5ALN,,consensus_hop1,casbench,scored,curated_allosteric
0.3472,0.7889,harm|sym|R,0.8,harm|sym|R,CAS0002,25,10,72,0.6391,0.0,CAS_5ALV,,consensus_hop1,casbench,scored,curated_allosteric
